date,avg_delay,median_delay,num_flights,num_delayed,num_cancelled,delay_weather,delay_carrier,delay_nas,delay_late_aircraft,delay_security,delay_rate,cancel_rate,date_parsed,year,month,day,day_of_week,day_name
2019-06-08,20.870237437879624,-4.0,1811,527,53,4310.0,12486.0,12726.0,20443.0,94.0,29.1,2.93,2019-06-08,2019,6,8,5,Sat
2019-06-09,19.92502434274586,-2.0,2054,688,127,5142.0,15256.0,8441.0,24105.0,206.0,33.5,6.18,2019-06-09,2019,6,9,6,Sun
2019-06-10,18.744552619378766,-1.0,2157,703,87,1045.0,14748.0,12447.0,22780.0,0.0,32.59,4.03,2019-06-10,2019,6,10,0,Mon
2019-06-11,8.707779886148007,-4.0,2108,468,23,247.0,11222.0,5618.0,14116.0,0.0,22.2,1.09,2019-06-11,2019,6,11,1,Tue
2019-06-12,8.377604166666666,-4.0,2304,522,26,646.0,9091.0,7215.0,15700.0,20.0,22.66,1.13,2019-06-12,2019,6,12,2,Wed
2019-06-13,12.464920071047958,-1.0,2252,634,12,612.0,10640.0,11916.0,15772.0,40.0,28.15,0.53,2019-06-13,2019,6,13,3,Thu
2019-06-14,2.3634751773049647,-6.0,2256,366,8,412.0,7758.0,4215.0,8622.0,195.0,16.22,0.35,2019-06-14,2019,6,14,4,Fri
2019-06-15,7.972639484978541,-5.0,1864,417,30,1638.0,7817.0,7651.0,10282.0,20.0,22.37,1.61,2019-06-15,2019,6,15,5,Sat
2019-06-16,21.39312784234462,-1.0,1979,673,96,6986.0,12333.0,12971.0,20547.0,63.0,34.01,4.85,2019-06-16,2019,6,16,6,Sun
2019-06-17,15.453038674033149,-1.0,2172,673,64,2481.0,12747.0,10098.0,19291.0,89.0,30.99,2.95,2019-06-17,2019,6,17,0,Mon
